=== FFI (Foreign Function & Memory API) Hits ===
Format: callerSig | lib | symbol | mechanism | jar
<org.apache.tomcat.util.openssl.openssl_h: int OCSP_resp_find(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,int)> | ssl | OCSP_resp_find | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment SSL_CTX_get_client_CA_list(java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_get_client_CA_list | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int OCSP_single_get0_status(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | OCSP_single_get0_status | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void EVP_MD_free(java.lang.foreign.MemorySegment)> | ssl | EVP_MD_free | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void PKCS12_free(java.lang.foreign.MemorySegment)> | ssl | PKCS12_free | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void SSL_CTX_set_default_passwd_cb(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_set_default_passwd_cb | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment SSL_get_current_cipher(java.lang.foreign.MemorySegment)> | ssl | SSL_get_current_cipher | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment OpenSSL_version(int)> | ssl | OpenSSL_version | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int OCSP_response_status(java.lang.foreign.MemorySegment)> | ssl | OCSP_response_status | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment BN_get_rfc3526_prime_2048(java.lang.foreign.MemorySegment)> | ssl | BN_get_rfc3526_prime_2048 | downcallHandle | tomcat-coyote-ffm.jar
