=== JNA Interface Mapping Hits ===
Format: callerSig | lib | symbol | interface | calleeSig | callerJar | calleeJar
<com.sun.jna.platform.linux.XAttrUtil: com.sun.jna.Memory getXAttrAsMemory(java.lang.String,java.lang.String)> | <null:default-c-lib> | getxattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t getxattr(java.lang.String,java.lang.String,com.sun.jna.Pointer,com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: com.sun.jna.Memory getXAttrAsMemory(java.lang.String,java.lang.String)> | <null:default-c-lib> | getxattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t getxattr(java.lang.String,java.lang.String,com.sun.jna.Pointer,com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: void fRemoveXAttr(int,java.lang.String)> | <null:default-c-lib> | fremovexattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: int fremovexattr(int,java.lang.String)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: void lSetXAttr(java.lang.String,java.lang.String,byte[])> | <null:default-c-lib> | lsetxattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: int lsetxattr(java.lang.String,java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: byte[] lGetXAttrBytes(java.lang.String,java.lang.String)> | <null:default-c-lib> | lgetxattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t lgetxattr(java.lang.String,java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: byte[] lGetXAttrBytes(java.lang.String,java.lang.String)> | <null:default-c-lib> | lgetxattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t lgetxattr(java.lang.String,java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: void setXAttr(java.lang.String,java.lang.String,byte[])> | <null:default-c-lib> | setxattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: int setxattr(java.lang.String,java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: void lRemoveXAttr(java.lang.String,java.lang.String)> | <null:default-c-lib> | lremovexattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: int lremovexattr(java.lang.String,java.lang.String)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: java.util.Collection lListXAttr(java.lang.String,java.lang.String)> | <null:default-c-lib> | llistxattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t llistxattr(java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: java.util.Collection lListXAttr(java.lang.String,java.lang.String)> | <null:default-c-lib> | llistxattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t llistxattr(java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: byte[] fGetXAttrBytes(int,java.lang.String)> | <null:default-c-lib> | fgetxattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t fgetxattr(int,java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: byte[] fGetXAttrBytes(int,java.lang.String)> | <null:default-c-lib> | fgetxattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t fgetxattr(int,java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: byte[] getXAttrBytes(java.lang.String,java.lang.String)> | <null:default-c-lib> | getxattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t getxattr(java.lang.String,java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.XAttrUtil: byte[] getXAttrBytes(java.lang.String,java.lang.String)> | <null:default-c-lib> | getxattr | com.sun.jna.platform.linux.XAttr | <com.sun.jna.platform.linux.XAttr: com.sun.jna.platform.linux.XAttr$ssize_t getxattr(java.lang.String,java.lang.String,byte[],com.sun.jna.platform.linux.XAttr$size_t)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.CoreFoundation: void <clinit>()> | CoreFoundation | CFArrayGetTypeID | com.sun.jna.platform.mac.CoreFoundation | <com.sun.jna.platform.mac.CoreFoundation: com.sun.jna.platform.mac.CoreFoundation$CFTypeID CFArrayGetTypeID()> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.CoreFoundation: void <clinit>()> | CoreFoundation | CFBooleanGetTypeID | com.sun.jna.platform.mac.CoreFoundation | <com.sun.jna.platform.mac.CoreFoundation: com.sun.jna.platform.mac.CoreFoundation$CFTypeID CFBooleanGetTypeID()> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.CoreFoundation: void <clinit>()> | CoreFoundation | CFDataGetTypeID | com.sun.jna.platform.mac.CoreFoundation | <com.sun.jna.platform.mac.CoreFoundation: com.sun.jna.platform.mac.CoreFoundation$CFTypeID CFDataGetTypeID()> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.CoreFoundation: void <clinit>()> | CoreFoundation | CFDateGetTypeID | com.sun.jna.platform.mac.CoreFoundation | <com.sun.jna.platform.mac.CoreFoundation: com.sun.jna.platform.mac.CoreFoundation$CFTypeID CFDateGetTypeID()> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.CoreFoundation: void <clinit>()> | CoreFoundation | CFDictionaryGetTypeID | com.sun.jna.platform.mac.CoreFoundation | <com.sun.jna.platform.mac.CoreFoundation: com.sun.jna.platform.mac.CoreFoundation$CFTypeID CFDictionaryGetTypeID()> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.CoreFoundation: void <clinit>()> | CoreFoundation | CFNumberGetTypeID | com.sun.jna.platform.mac.CoreFoundation | <com.sun.jna.platform.mac.CoreFoundation: com.sun.jna.platform.mac.CoreFoundation$CFTypeID CFNumberGetTypeID()> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.CoreFoundation: void <clinit>()> | CoreFoundation | CFStringGetTypeID | com.sun.jna.platform.mac.CoreFoundation | <com.sun.jna.platform.mac.CoreFoundation: com.sun.jna.platform.mac.CoreFoundation$CFTypeID CFStringGetTypeID()> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.IOKit$IOIterator getMatchingServices(com.sun.jna.platform.mac.CoreFoundation$CFDictionaryRef)> | IOKit | IOServiceGetMatchingServices | com.sun.jna.platform.mac.IOKit | <com.sun.jna.platform.mac.IOKit: int IOServiceGetMatchingServices(int,com.sun.jna.platform.mac.CoreFoundation$CFDictionaryRef,com.sun.jna.ptr.PointerByReference)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.IOKit$IOIterator getMatchingServices(com.sun.jna.platform.mac.CoreFoundation$CFDictionaryRef)> | System | mach_task_self | com.sun.jna.platform.mac.SystemB | <com.sun.jna.platform.mac.SystemB: int mach_task_self()> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.IOKit$IOIterator getMatchingServices(com.sun.jna.platform.mac.CoreFoundation$CFDictionaryRef)> | System | mach_port_deallocate | com.sun.jna.platform.mac.SystemB | <com.sun.jna.platform.mac.SystemB: int mach_port_deallocate(int,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.IOKit$IOService getMatchingService(com.sun.jna.platform.mac.CoreFoundation$CFDictionaryRef)> | IOKit | IOServiceGetMatchingService | com.sun.jna.platform.mac.IOKit | <com.sun.jna.platform.mac.IOKit: com.sun.jna.platform.mac.IOKit$IOService IOServiceGetMatchingService(int,com.sun.jna.platform.mac.CoreFoundation$CFDictionaryRef)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.IOKitUtil: com.sun.jna.platform.mac.IOKit$IOService getMatchingService(com.sun.jna.platform.mac.CoreFoundation$CFDictionaryRef)> | System | mach_task_self | com.sun.jna.platform.mac.SystemB | <com.sun.jna.platform.mac.SystemB: int mach_task_self()> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
